,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
209,praia da vitoria,40.0,PT,2018-11-13,88.0,38.73,-27.07,68.0,25.64
210,pemba,0.0,MZ,2018-11-13,57.0,-12.97,40.52,78.8,6.93
211,bambous virieux,40.0,MU,2018-11-13,74.0,-20.34,57.76,80.6,12.75
212,sorong,88.0,ID,2018-11-13,100.0,-0.86,131.25,83.07,7.92
213,bondoukou,8.0,CI,2018-11-13,96.0,8.04,-2.8,70.74,2.89
214,souillac,90.0,FR,2018-11-13,93.0,45.6,-0.6,51.8,3.36
215,kantang,20.0,TH,2018-11-13,52.0,7.42,99.52,93.2,2.24
216,maumere,48.0,ID,2018-11-13,100.0,-8.63,122.22,83.83,2.26
217,atar,0.0,MR,2018-11-13,68.0,20.52,-13.05,52.29,5.84
218,naze,75.0,NG,2018-11-13,94.0,5.43,7.07,77.0,2.77
219,ilulissat,8.0,GL,2018-11-13,67.0,69.22,-51.1,21.2,18.34
220,pascagoula,90.0,US,2018-11-13,90.0,30.37,-88.56,59.0,10.29
221,garowe,0.0,SO,2018-11-13,68.0,8.41,48.48,74.79,6.4
222,sur,0.0,OM,2018-11-13,85.0,22.57,59.53,83.56,2.89
223,port lincoln,0.0,AU,2018-11-13,82.0,-34.72,135.86,65.11,11.83
224,darnah,92.0,LY,2018-11-13,100.0,32.77,22.64,64.48,4.23
225,ozernovskiy,68.0,RU,2018-11-13,98.0,51.5,156.52,38.25,8.08
226,fomboni,64.0,KM,2018-11-13,100.0,-12.28,43.74,78.88,11.88
227,labuhan,48.0,ID,2018-11-13,77.0,-2.54,115.51,83.88,2.82
228,yarada,48.0,IN,2018-11-13,100.0,17.65,83.27,82.26,23.85
229,muros,20.0,ES,2018-11-13,100.0,42.77,-9.06,32.0,5.84
230,cascais,0.0,PT,2018-11-13,81.0,38.7,-9.42,51.8,8.05
231,canoa,5.0,CU,2018-11-13,88.0,22.56,-79.83,71.6,1.12
232,chapleau,8.0,CA,2018-11-13,97.0,47.85,-83.4,11.88,5.39
233,senador guiomard,12.0,BR,2018-11-13,93.0,-10.15,-67.74,77.49,2.1
234,danjiangkou,0.0,CN,2018-11-13,71.0,32.54,111.51,59.31,5.28
235,nemuro,20.0,JP,2018-11-13,65.0,43.32,145.57,44.6,5.82
236,ewa beach,1.0,US,2018-11-13,73.0,21.32,-158.01,77.0,6.93
237,merauke,24.0,ID,2018-11-13,63.0,-8.49,140.4,91.26,14.34
238,vilhena,0.0,BR,2018-11-13,93.0,-12.74,-60.15,73.08,2.04
239,cururupu,0.0,BR,2018-11-13,83.0,-1.82,-44.87,78.93,7.29
240,aqtobe,8.0,KZ,2018-11-13,78.0,50.28,57.21,14.0,4.47
241,lysva,36.0,RU,2018-11-13,79.0,58.11,57.8,14.31,12.95
242,cooma,56.0,AU,2018-11-13,64.0,-36.24,149.13,68.44,5.91
243,roblin,24.0,CA,2018-11-13,77.0,51.23,-101.35,1.53,2.77
244,panacan,90.0,PH,2018-11-13,74.0,7.15,125.66,84.2,9.17
245,antofagasta,40.0,CL,2018-11-13,82.0,-23.65,-70.4,59.0,17.22
246,svetlogorsk,20.0,RU,2018-11-13,33.0,53.14,59.15,28.4,6.71
247,beyneu,24.0,KZ,2018-11-13,89.0,45.32,55.19,20.52,10.65
248,shingu,75.0,JP,2018-11-13,82.0,33.72,135.99,59.0,8.05
249,tual,44.0,ID,2018-11-13,100.0,-5.67,132.75,84.42,6.06
250,trairi,76.0,BR,2018-11-13,100.0,-3.28,-39.27,80.1,17.92
251,quang ngai,56.0,VN,2018-11-13,76.0,15.12,108.8,80.46,3.04
252,koutiala,0.0,ML,2018-11-13,68.0,12.39,-5.46,68.13,2.55
253,pevek,0.0,RU,2018-11-13,83.0,69.7,170.27,-4.87,7.29
254,araria,8.0,IN,2018-11-13,37.0,26.13,87.47,86.04,5.28
255,chokurdakh,80.0,RU,2018-11-13,61.0,70.62,147.9,-6.94,8.3
256,bezhanitsy,92.0,RU,2018-11-13,82.0,56.97,29.88,34.11,21.9
